date,step,,,,,
1/4/20 16:24,15,,,,,
1/4/20 16:24,9,,,,,
1/4/20 16:24,2,,,,,
1/4/20 16:26,2,,,,,
1/4/20 16:26,3,,,,,
1/4/20 16:42,630,,,,,
1/4/20 16:55,109,,,,,
1/4/20 17:05,30,,,,,
1/4/20 17:24,929,,,,,
1/4/20 17:26,255,,,,,
1/4/20 18:03,277,,,,,
1/4/20 18:15,246,,,,,
1/4/20 18:19,16,,,,,
1/4/20 18:19,6,,,,,
1/4/20 18:19,4,,,,,
1/4/20 18:22,56,,,,,
1/4/20 19:03,72,,,,,
1/4/20 19:50,69,,,,,
1/4/20 19:52,126,,,,,
1/4/20 21:03,28,,,,,
1/4/20 21:20,12,,,,,
1/4/20 22:17,59,,,,,
1/4/20 22:22,27,,,,,
1/4/20 22:37,12,,,,,
1/4/20 22:38,12,,,,,
1/4/20 22:38,8,,,,,
1/4/20 22:39,8,,,,,
1/4/20 22:39,7,,,,,
1/4/20 22:39,6,,,,,
1/4/20 22:55,2,,,,,
1/4/20 23:31,56,,,,,
1/5/20 0:01,76,,,,,
1/5/20 0:37,31,,,,,
1/5/20 1:13,8,,,,,
1/5/20 11:40,16,,,,,
1/5/20 13:05,188,,,,,
1/5/20 13:25,10,,,,,
1/5/20 13:30,16,,,,,
1/5/20 14:29,291,,,,,
1/5/20 14:47,297,,,,,
1/5/20 15:05,28,,,,,
1/5/20 15:13,82,,,,,
1/5/20 17:24,156,,,,,
1/5/20 17:34,432,,,,,
1/5/20 17:44,983,,,,,
1/5/20 17:54,822,,,,,
1/5/20 18:04,565,,,,,
1/5/20 18:05,9,,,,,
1/5/20 18:05,11,,,,,
1/5/20 18:05,2,,,,,
1/5/20 18:05,15,,,,,
1/5/20 18:05,7,,,,,
1/5/20 18:05,14,,,,,
1/5/20 18:05,15,,,,,
1/5/20 18:05,9,,,,,
1/5/20 18:05,10,,,,,
1/5/20 18:06,9,,,,,
1/5/20 18:06,10,,,,,
1/5/20 18:06,10,,,,,
1/5/20 18:06,8,,,,,
1/5/20 18:06,9,,,,,
1/5/20 18:06,11,,,,,
1/5/20 18:06,9,,,,,
1/5/20 18:06,8,,,,,
1/5/20 18:06,9,,,,,
1/5/20 18:06,10,,,,,
1/5/20 18:06,6,,,,,
1/5/20 18:07,9,,,,,
1/5/20 18:07,9,,,,,
1/5/20 18:07,2,,,,,
1/5/20 18:07,15,,,,,
1/5/20 18:07,10,,,,,
1/5/20 18:07,10,,,,,
1/5/20 18:07,8,,,,,
1/5/20 18:07,9,,,,,
1/5/20 18:07,10,,,,,
1/5/20 18:08,9,,,,,
1/5/20 18:08,9,,,,,
1/5/20 18:08,9,,,,,
1/5/20 18:08,9,,,,,
1/5/20 18:08,9,,,,,
1/5/20 18:08,10,,,,,
1/5/20 18:08,9,,,,,
1/5/20 18:08,9,,,,,
1/5/20 18:08,11,,,,,
1/5/20 18:08,9,,,,,
1/5/20 18:08,9,,,,,
1/5/20 18:08,12,,,,,
1/5/20 18:09,9,,,,,
1/5/20 18:09,10,,,,,
1/5/20 18:09,9,,,,,
1/5/20 18:09,9,,,,,
1/5/20 18:09,10,,,,,
1/5/20 18:09,9,,,,,
1/5/20 18:09,9,,,,,
1/5/20 18:09,8,,,,,
1/5/20 18:09,11,,,,,
1/5/20 18:09,8,,,,,
1/5/20 18:09,10,,,,,
1/5/20 18:09,9,,,,,
1/5/20 18:10,9,,,,,
1/5/20 18:10,9,,,,,
1/5/20 18:10,9,,,,,
1/5/20 18:10,11,,,,,
1/5/20 18:10,9,,,,,
1/5/20 18:10,10,,,,,
1/5/20 18:10,8,,,,,
1/5/20 18:10,10,,,,,
1/5/20 18:10,10,,,,,
1/5/20 18:10,9,,,,,
1/5/20 18:10,9,,,,,
1/5/20 18:10,9,,,,,
1/5/20 18:11,10,,,,,
1/5/20 18:11,9,,,,,
1/5/20 18:11,10,,,,,
1/5/20 18:11,9,,,,,
1/5/20 18:11,10,,,,,
1/5/20 18:11,8,,,,,
1/5/20 18:11,10,,,,,
1/5/20 18:11,8,,,,,
1/5/20 18:11,8,,,,,
1/5/20 18:11,8,,,,,
1/5/20 18:11,10,,,,,
1/5/20 18:12,10,,,,,
1/5/20 18:12,8,,,,,
1/5/20 18:12,14,,,,,
1/5/20 18:12,9,,,,,
1/5/20 18:12,9,,,,,
1/5/20 18:12,9,,,,,
1/5/20 18:12,10,,,,,
1/5/20 18:12,8,,,,,
1/5/20 18:12,9,,,,,
1/5/20 18:12,1,,,,,
1/5/20 18:12,15,,,,,
1/5/20 18:13,10,,,,,
1/5/20 18:13,10,,,,,
1/5/20 18:13,10,,,,,
1/5/20 18:13,8,,,,,
1/5/20 18:13,2,,,,,
1/5/20 18:13,24,,,,,
1/5/20 18:13,9,,,,,
1/5/20 18:13,8,,,,,
1/5/20 18:13,8,,,,,
1/5/20 18:13,8,,,,,
1/5/20 18:14,6,,,,,
1/5/20 18:14,12,,,,,
1/5/20 18:14,4,,,,,
1/5/20 18:14,4,,,,,
1/5/20 18:14,3,,,,,
1/5/20 18:15,10,,,,,
1/5/20 18:15,3,,,,,
1/5/20 18:17,16,,,,,
1/5/20 18:17,2,,,,,
1/5/20 18:17,5,,,,,
1/5/20 18:17,2,,,,,
1/5/20 18:17,5,,,,,
1/5/20 18:17,2,,,,,
1/5/20 18:18,14,,,,,
1/5/20 18:18,1,,,,,
1/5/20 18:18,2,,,,,
1/5/20 18:18,4,,,,,
1/5/20 18:19,7,,,,,
1/5/20 18:19,5,,,,,
1/5/20 18:19,5,,,,,
1/5/20 18:27,95,,,,,
1/5/20 18:37,39,,,,,
